id,designation,designateur_eaip,terrain,nature,secteur,plancher_ft,plafond_ft,zone,source,confiance,catalogue_station,remarque
118000,118.000,,LFPZ,tour,,,,,catalogue station (identification du 11-16/09) ; LFPZ n a pas de fiche AD 2 dans l eAIP,catalogue,Saint-Cyr Tour (LFPZ),
118150,118.150,118.155,LFPG,approche,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : APP « DE GAULLE Approche (FR) »,eAIP,Approche De Gaulle + Le Bourget,Canal 8.33 ; catalogue : sert aussi Le Bourget (carte LFPB lue le 14/09) ; l AD 2.18 de LFPB ne cite que 118.805 comme Le Bourget Approche
118400,118.400,118.405,LFPB,tour,,,,,eAIP AD 2.LFPB §2.18 (AIRAC 03/09/2026) : TWR « LE BOURGET Tour (FR) »,eAIP,Le Bourget Tour (secours),le catalogue dit « secours » ; l eAIP ne le dit pas
118650,118.650,118.655,LFPG,tour,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Tour (FR) »,eAIP,De Gaulle Tour,Canal 8.33
118700,118.700,118.700,LFPO,tour,,,,,eAIP AD 2.LFPO §2.18 (AIRAC 03/09/2026) : TWR « ORLY Tour (FR) »,eAIP,Orly Tour,
118800,118.800,118.805,LFPB,approche,,,,,eAIP AD 2.LFPB §2.18 (AIRAC 03/09/2026) : APP « LE BOURGET Approche (FR) »,eAIP,jamais cataloguee - des. 118.805,NOUVEAU 26/09 : identifiée par l eAIP (catalogue : « jamais cataloguée »)
118883,118.883,118.885,BREST UAC,controle,ZI,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « BREST Contrôle (FR) », secteur ZI, H24",eAIP (attribution) ; à confirmer à l écoute,"jamais cataloguee - des. 118.885, voisine du Bourget","NOUVEAU 26/09 : identifiée par l eAIP (catalogue : « jamais cataloguée, voisine du Bourget »)"
118892,118.892,,,inconnue,,,,,"aucun 118.890 dans GEN 3.4, ENR 2.1, 2.2, 3.3 ni AD 2 LFPG/LFPO/LFPB/LFPV/LFPN",supposé,"jamais cataloguee - des. 118.890, voisine du Bourget","à 8,33 kHz de 118.883 (BREST UAC ZI) : probablement la même émission comptée deux fois par le canaliseur (cas de 133,241667), non vérifié"
118925,118.925,118.930,LFPB,tour,,,,,eAIP AD 2.LFPB §2.18 (AIRAC 03/09/2026) : TWR « LE BOURGET Tour (FR) »,eAIP,Le Bourget Tour (LFPB),
119250,119.250,119.255,LFPG,tour,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Tour (FR) »,eAIP,De Gaulle Tour,Canal 8.33
119425,119.425,119.425,LFPV,approche,,,,,eAIP AD 2.LFPV §2.18 (AIRAC 03/09/2026) : APP « VILLA Approche (FR) »,eAIP,Villacoublay Approche (LFPV),
119625,119.625,119.630,LFPG,tour,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Tour (FR) »,eAIP,De Gaulle Tour (secours),Fréquence feu. Fire frequency. Canal 8.33
119850,119.850,119.855,LFPG,approche,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : APP « DE GAULLE Approche (FR) »,eAIP,Approche De Gaulle + Le Bourget,Canal 8.33 ; catalogue : sert aussi Le Bourget (carte LFPB lue le 14/09) ; l AD 2.18 de LFPB ne cite que 118.805 comme Le Bourget Approche
120000,120.000,120.005,LFPB,atis,,,,,eAIP AD 2.LFPB §2.18 (AIRAC 03/09/2026) : ATIS « LE BOURGET (FR) »,eAIP,Le Bourget ATIS,
120650,120.650,120.655,LFPG,tour,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Tour (FR) »,eAIP,De Gaulle Tour (secours),Fréquence supplétive/Auxiliary frequency. ; Canal 8.33
120750,120.750,120.755,LFPN,tour,,,,,eAIP AD 2.LFPN §2.18 (AIRAC 03/09/2026) : TWR « TOUSSUS Tour (FR) »,eAIP,Toussus Tour (LFPN),
120900,120.900,120.905,LFPG,tour,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Tour (FR) »,eAIP,De Gaulle Tour,Canal 8.33
121150,121.150,121.155,LFPG,approche,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : APP « DE GAULLE Approche (FR) »,eAIP,Approche De Gaulle + Le Bourget,Canal 8.33 ; catalogue : sert aussi Le Bourget (carte LFPB lue le 14/09) ; l AD 2.18 de LFPB ne cite que 118.805 comme Le Bourget Approche
121500,121.500,121.500,(toutes),detresse,,,,,"eAIP AD 2.LFPO §2.18 : VDF « ORLY Gonio », 121.500 « Fréquence détresse »",eAIP,Detresse,
121550,121.550,121.555,LFPO,prevol,,,,,eAIP AD 2.LFPO §2.18 (AIRAC 03/09/2026) : TWR « ORLY Prevol (FR) »,eAIP,Orly Prevol,
121608,121.608,121.610,LFPG,sol,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Sol (FR) »,eAIP,De Gaulle Sol,Canal 8.33
121700,121.700,121.705,LFPO,sol,,,,,eAIP AD 2.LFPO §2.18 (AIRAC 03/09/2026) : TWR « ORLY Sol (FR) »,eAIP,Orly Sol,
121725,121.725,121.730,LFPG,prevol,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Prevol (FR) »,eAIP,De Gaulle Prevol,Canal 8.33
